Grid Size,Threads,Mode,Schedule,Run,Execution Time (s)
10000x10000,2,row,guided,2,0.808725
10000x10000,2,row,guided,3,0.801564
10000x10000,2,row,guided,4,0.806846
10000x10000,2,row,guided,5,0.804538
10000x10000,2,row,guided,Average,0.805708
10000x10000,2,row,runtime,1,0.803656
10000x10000,2,row,runtime,2,0.804801
10000x10000,2,row,runtime,3,0.800189
10000x10000,2,row,runtime,4,0.808090
10000x10000,2,row,runtime,5,0.799612
10000x10000,2,row,runtime,Average,0.803270
10000x10000,2,row,static,1,0.634195
10000x10000,2,row,static,2,0.640261
10000x10000,2,row,static,3,0.636958
10000x10000,2,row,static,4,0.636228
10000x10000,2,row,static,5,0.639369
10000x10000,2,row,static,Average,0.637402
10000x10000,2,row,dynamic,1,0.633425
10000x10000,2,row,dynamic,2,0.631657
10000x10000,2,row,dynamic,3,0.632812
10000x10000,2,row,dynamic,4,0.638934
10000x10000,2,row,dynamic,5,0.635036
10000x10000,2,row,dynamic,Average,0.634373
10000x10000,2,row,guided,1,0.635664
10000x10000,2,row,guided,2,0.637406
10000x10000,2,row,guided,3,0.632797
10000x10000,2,row,guided,4,0.630097
10000x10000,2,row,guided,5,0.632710
10000x10000,2,row,guided,Average,0.633735
10000x10000,2,row,runtime,1,0.633003
10000x10000,2,row,runtime,2,0.634066
10000x10000,2,row,runtime,3,0.636036
10000x10000,2,row,runtime,4,0.634841
10000x10000,2,row,runtime,5,0.633212
10000x10000,2,row,runtime,Average,0.634232
10000x10000,2,column,static,1,1.336835
10000x10000,2,column,static,2,1.336406
10000x10000,2,column,static,3,1.338068
10000x10000,2,column,static,4,1.336230
10000x10000,2,column,static,5,1.343018
10000x10000,2,column,static,Average,1.338111
10000x10000,2,column,dynamic,1,1.340734
10000x10000,2,column,dynamic,2,1.344997
10000x10000,2,column,dynamic,3,1.351912
10000x10000,2,column,dynamic,4,1.345939
10000x10000,2,column,dynamic,5,1.344844
10000x10000,2,column,dynamic,Average,1.345685
10000x10000,2,column,guided,1,1.349101
10000x10000,2,column,guided,2,1.348732
10000x10000,2,column,guided,3,1.344024
10000x10000,2,column,guided,4,1.350049
10000x10000,2,column,guided,5,1.343889
10000x10000,2,column,guided,Average,1.347159
10000x10000,2,column,runtime,1,1.343594
10000x10000,2,column,runtime,2,1.339169
10000x10000,2,column,runtime,3,1.337676
10000x10000,2,column,runtime,4,1.314595
10000x10000,2,column,runtime,5,1.344060
10000x10000,2,column,runtime,Average,1.335819
10000x10000,2,column,static,1,0.630213
10000x10000,2,column,static,2,0.636223
10000x10000,2,column,static,3,0.634931
10000x10000,2,column,static,4,0.636475
10000x10000,2,column,static,5,0.635588
10000x10000,2,column,static,Average,0.634686
10000x10000,2,column,dynamic,1,0.639259
10000x10000,2,column,dynamic,2,0.632063
10000x10000,2,column,dynamic,3,0.633295
10000x10000,2,column,dynamic,4,0.631587
10000x10000,2,column,dynamic,5,0.635108
10000x10000,2,column,dynamic,Average,0.634262
10000x10000,2,column,guided,1,0.636943
10000x10000,2,column,guided,2,0.654692
10000x10000,2,column,guided,3,0.634029
10000x10000,2,column,guided,4,0.635050
10000x10000,2,column,guided,5,0.640325
10000x10000,2,column,guided,Average,0.640208
10000x10000,2,column,runtime,1,0.640771
10000x10000,2,column,runtime,2,0.634855
10000x10000,2,column,runtime,3,0.638975
10000x10000,2,column,runtime,4,0.653672
10000x10000,2,column,runtime,5,0.636101
10000x10000,2,column,runtime,Average,0.640875
100x100,4,row,static,1,0.002618
100x100,4,row,static,2,0.002369
100x100,4,row,static,3,0.002444
100x100,4,row,static,4,0.002323
100x100,4,row,static,5,0.002453
100x100,4,row,static,Average,0.002441
100x100,4,row,dynamic,1,0.002281
100x100,4,row,dynamic,2,0.002392
100x100,4,row,dynamic,3,0.002275
100x100,4,row,dynamic,4,0.002326
100x100,4,row,dynamic,5,0.002164
100x100,4,row,dynamic,Average,0.002288
100x100,4,row,guided,1,0.002317
100x100,4,row,guided,2,0.002081
100x100,4,row,guided,3,0.002128
100x100,4,row,guided,4,0.002192
100x100,4,row,guided,5,0.002256
100x100,4,row,guided,Average,0.002195
100x100,4,row,runtime,1,0.002074
100x100,4,row,runtime,2,0.002285
100x100,4,row,runtime,3,0.002120
100x100,4,row,runtime,4,0.002223
100x100,4,row,runtime,5,0.002300
100x100,4,row,runtime,Average,0.002200
100x100,4,row,static,1,0.002051
100x100,4,row,static,2,0.002092
100x100,4,row,static,3,0.002128
100x100,4,row,static,4,0.002069
100x100,4,row,static,5,0.002029
100x100,4,row,static,Average,0.002074
100x100,4,row,dynamic,1,0.002126
100x100,4,row,dynamic,2,0.002065
100x100,4,row,dynamic,3,0.002108
100x100,4,row,dynamic,4,0.002044
100x100,4,row,dynamic,5,0.002157
100x100,4,row,dynamic,Average,0.002100
100x100,4,row,guided,1,0.002063
100x100,4,row,guided,2,0.002139
100x100,4,row,guided,3,0.002304
100x100,4,row,guided,4,0.002075
100x100,4,row,guided,5,0.002131
100x100,4,row,guided,Average,0.002142
100x100,4,row,runtime,1,0.002198
100x100,4,row,runtime,2,0.001971
100x100,4,row,runtime,3,0.002132
100x100,4,row,runtime,4,0.002023
100x100,4,row,runtime,5,0.002030
100x100,4,row,runtime,Average,0.002071
100x100,4,column,static,1,0.002067
100x100,4,column,static,2,0.002136
100x100,4,column,static,3,0.002097
100x100,4,column,static,4,0.002217
100x100,4,column,static,5,0.002147
100x100,4,column,static,Average,0.002133
100x100,4,column,dynamic,1,0.002125
100x100,4,column,dynamic,2,0.002129
100x100,4,column,dynamic,3,0.002158
100x100,4,column,dynamic,4,0.002071
100x100,4,column,dynamic,5,0.002134
100x100,4,column,dynamic,Average,0.002123
100x100,4,column,guided,1,0.002041
100x100,4,column,guided,2,0.002050
100x100,4,column,guided,3,0.002134
100x100,4,column,guided,4,0.002144
100x100,4,column,guided,5,0.002124
100x100,4,column,guided,Average,0.002098
100x100,4,column,runtime,1,0.002163
100x100,4,column,runtime,2,0.002151
100x100,4,column,runtime,3,0.002144
100x100,4,column,runtime,4,0.001989
100x100,4,column,runtime,5,0.002184
100x100,4,column,runtime,Average,0.002126
100x100,4,column,static,1,0.001981
100x100,4,column,static,2,0.002068
100x100,4,column,static,3,0.002035
100x100,4,column,static,4,0.002058
100x100,4,column,static,5,0.002127
100x100,4,column,static,Average,0.002054
100x100,4,column,dynamic,1,0.002076
100x100,4,column,dynamic,2,0.002055
100x100,4,column,dynamic,3,0.002068
100x100,4,column,dynamic,4,0.002156
100x100,4,column,dynamic,5,0.002048
